"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.018880042E0,-6.842481345E-2,3.312294483E-1,4.620178342E-1
3.028870042E0,-8.964354545E-2,3.313271701E-1,4.552864134E-1
3.038859042E0,-1.492241919E-1,4.192668200E-1,3.735996485E-1
3.048849042E0,-1.829089224E-1,5.712997913E-1,2.457290292E-1
3.058839042E0,-1.712398678E-1,7.393950820E-1,1.313975751E-1
3.068828042E0,-1.234667599E-1,9.326817393E-1,2.370360494E-2
3.078818042E0,-9.320101142E-2,1.121659994E0,-9.598012269E-2
3.088808042E0,-1.045037359E-1,1.243214369E0,-1.863896549E-1
3.098798042E0,-1.416378468E-1,1.304363489E0,-2.389819026E-1
3.108787042E0,-1.639873683E-1,1.290269256E0,-2.354739904E-1
3.118777042E0,-1.791126430E-1,1.171736121E0,-1.570600122E-1
3.128767042E0,-1.967129409E-1,9.648787975E-1,8.491933346E-3
3.138756042E0,-2.213994563E-1,7.530404925E-1,1.788703501E-1
3.148746042E0,-2.330364138E-1,5.944820046E-1,3.142148554E-1
3.158736042E0,-2.148172408E-1,5.208850503E-1,3.738574386E-1
3.168725042E0,-1.833850145E-1,5.685535073E-1,3.184194565E-1
3.178715042E0,-1.503702849E-1,7.141669989E-1,1.910539418E-1
3.188705042E0,-1.651726663E-1,8.722231984E-1,3.968172893E-2
3.198695042E0,-2.180840820E-1,1.032030344E0,-1.113237664E-1
3.208684042E0,-2.799386680E-1,1.203490019E0,-2.414125204E-1
3.218674042E0,-3.169517517E-1,1.413625836E0,-3.546351492E-1
3.228664042E0,-3.069776893E-1,1.477404475E0,-3.870692551E-1
3.238653042E0,-2.748330235E-1,1.384855866E0,-2.945622206E-1
3.248643042E0,-2.361679077E-1,1.203466892E0,-1.304790080E-1
3.258633042E0,-2.147572637E-1,9.719465971E-1,4.075977579E-2
3.268622042E0,-2.224114537E-1,8.803067207E-1,9.740920365E-2
3.278612042E0,-2.494425178E-1,9.476230145E-1,2.933507226E-2
3.288602042E0,-2.511903644E-1,1.154586554E0,-7.832161337E-2
3.298592042E0,-2.411029786E-1,1.467620611E0,-2.037978023E-1
3.308581042E0,-2.572880685E-1,1.682363868E0,-3.220978081E-1
3.318571042E0,-2.911090851E-1,1.792804241E0,-4.337636828E-1
3.328561042E0,-3.391570449E-1,1.845144749E0,-5.337379575E-1
3.338550042E0,-3.623411655E-1,1.772930741E0,-5.588319898E-1
3.348540042E0,-3.134953082E-1,1.774041057E0,-5.609865189E-1
3.358530042E0,-2.319262177E-1,1.815892220E0,-5.560815930E-1
3.368519042E0,-1.190585122E-1,1.824851394E0,-5.178990960E-1
3.378509042E0,-3.502139077E-2,1.847052932E0,-5.128536820E-1
3.388499042E0,-3.220509738E-2,1.839670062E0,-5.124683380E-1
3.398489042E0,-7.571937144E-2,1.866380811E0,-5.292195678E-1
3.408478042E0,-1.098642945E-1,1.851114273E0,-5.436354876E-1
3.418468042E0,-1.066022292E-1,1.861511350E0,-6.023451090E-1
3.428458042E0,-9.401906282E-2,1.969136000E0,-7.334293723E-1
3.438447292E0,-8.988862485E-2,2.110794306E0,-8.555770516E-1
3.448437292E0,-5.048556253E-2,2.175907850E0,-9.433521628E-1
3.458427292E0,4.629855976E-4,2.218015909E0,-1.001376867E0
3.468416292E0,2.016238868E-2,2.217096567E0,-1.006158590E0
3.478406292E0,2.381064184E-2,2.057808876E0,-9.300125837E-1
3.488396292E0,3.323716670E-2,1.882004976E0,-8.310934901E-1
3.498386292E0,5.326497369E-3,1.731838942E0,-7.220149040E-1
3.508375292E0,-3.872431815E-2,1.536423326E0,-5.796279311E-1
3.518365292E0,-7.006213814E-2,1.326896548E0,-4.571905136E-1
3.528355292E0,-6.961072981E-2,1.156627297E0,-3.700356185E-1
3.538344292E0,-3.138856590E-2,9.364939332E-1,-2.793028057E-1
3.548334292E0,3.771939874E-2,7.283194661E-1,-1.967365444E-1
3.558324292E0,1.101819351E-1,5.133653283E-1,-1.079725996E-1
3.568314292E0,1.539515257E-1,2.761423588E-1,-1.967602968E-2
3.578303292E0,1.642810702E-1,3.937566280E-2,4.781407118E-2
3.588293292E0,1.696326882E-1,-1.510664523E-1,1.145947054E-1
3.598283292E0,1.868303269E-1,-2.498473525E-1,1.820246130E-1
3.608272292E0,2.070298642E-1,-3.243144155E-1,2.419278920E-1
3.618262292E0,2.375908345E-1,-4.222415686E-1,2.942686677E-1
3.628252292E0,2.713075280E-1,-5.164980292E-1,3.030786514E-1
3.638241292E0,2.963179946E-1,-5.922971368E-1,2.646933794E-1
3.648231292E0,3.003937006E-1,-6.460919380E-1,2.472589910E-1
3.658221292E0,3.188909888E-1,-7.007750869E-1,2.833563685E-1
3.668211292E0,3.756525517E-1,-7.184525728E-1,3.180493712E-1
3.678200292E0,4.194537103E-1,-7.109708786E-1,3.331066072E-1
3.688190292E0,4.391408563E-1,-6.920613647E-1,3.446873426E-1
3.698180292E0,4.570672810E-1,-6.643460393E-1,3.352022767E-1
3.708169292E0,4.778130352E-1,-6.592761874E-1,3.223072290E-1
3.718159292E0,4.945041835E-1,-7.033066750E-1,3.141503334E-1
3.728149292E0,5.264251232E-1,-7.713206410E-1,3.018148243E-1
3.738138292E0,5.706023574E-1,-8.411110640E-1,3.039270937E-1
3.748128292E0,5.904034972E-1,-8.887544870E-1,3.168969750E-1
3.758118292E0,5.823438168E-1,-8.784822822E-1,3.549811244E-1
3.768108292E0,5.630388260E-1,-8.608207107E-1,4.278803468E-1
3.778097292E0,5.309316516E-1,-8.746721745E-1,4.941226244E-1
3.788087292E0,5.092551112E-1,-9.151093364E-1,5.454869866E-1
3.798077292E0,4.799620509E-1,-9.656894803E-1,5.401563048E-1
3.808066292E0,4.450762570E-1,-1.025615454E0,5.202097893E-1
3.818056292E0,4.051727057E-1,-1.059625268E0,4.842178226E-1
3.828046292E0,4.035385847E-1,-1.049776554E0,4.592325687E-1
3.838036292E0,4.287956059E-1,-1.031612992E0,4.635451734E-1
3.848025292E0,4.606464803E-1,-1.012697101E0,4.767706990E-1
3.858015292E0,4.636863470E-1,-1.060592294E0,4.946725965E-1
3.868005292E0,4.405538440E-1,-1.152314663E0,5.293320417E-1
3.877994292E0,4.055590034E-1,-1.235156775E0,5.347909927E-1
3.887984292E0,3.489971757E-1,-1.276261091E0,5.310830474E-1
3.897974292E0,2.891078293E-1,-1.256226182E0,5.221989155E-1
3.907963292E0,2.510062754E-1,-1.207445145E0,5.195267200E-1
3.917953292E0,2.708361745E-1,-1.148308754E0,5.242616534E-1
3.927943292E0,2.914951146E-1,-1.151853323E0,5.389420390E-1
3.937933292E0,2.414418757E-1,-1.201545119E0,5.357323885E-1
3.947922292E0,1.583959907E-1,-1.256280303E0,5.206030011E-1
3.957912292E0,1.172075644E-1,-1.276126146E0,5.115601420E-1
3.967902292E0,1.037077382E-1,-1.257091284E0,5.253420472E-1
3.977891292E0,1.140185222E-1,-1.210988283E0,5.447675586E-1
3.987881292E0,1.504508257E-1,-1.158571482E0,5.456759930E-1
3.997871292E0,2.022447586E-1,-1.099299192E0,5.183692575E-1
4.007860292E0,2.165960073E-1,-1.066232681E0,4.982655644E-1
4.017850292E0,1.892457753E-1,-1.033160329E0,4.665626585E-1
4.027840292E0,1.486038119E-1,-1.010254502E0,4.431678355E-1
4.037830292E0,1.260407865E-1,-1.049893498E0,4.599146247E-1
4.047819292E0,8.647579700E-2,-1.099979639E0,5.049551129E-1
4.057809292E0,4.493956268E-2,-1.182010770E0,5.865716338E-1
4.067799292E0,2.302706987E-2,-1.298884153E0,7.374095917E-1
4.077788292E0,1.466844231E-2,-1.340120316E0,8.410390019E-1
4.087778292E0,1.736222953E-2,-1.313733459E0,8.679012656E-1
4.097768292E0,2.209341899E-2,-1.197256446E0,8.337236643E-1
4.107758292E0,1.058803033E-2,-1.045487523E0,7.284089923E-1
4.117747292E0,-4.334483296E-2,-9.460505247E-1,6.473175287E-1
4.127737292E0,-1.205797046E-1,-9.090983868E-1,5.798282623E-1
4.137727292E0,-1.886578947E-1,-9.805725217E-1,5.766636133E-1
4.147716292E0,-2.037380487E-1,-1.064092398E0,5.984535813E-1
4.157706292E0,-1.936682314E-1,-1.099237442E0,5.891615748E-1
4.167696292E0,-2.076461017E-1,-1.076032758E0,5.647180676E-1
4.177686292E0,-2.542753220E-1,-1.069149375E0,5.518469810E-1
4.187675292E0,-3.410677314E-1,-1.112053990E0,5.955550075E-1
4.197665292E0,-4.288676977E-1,-1.222349048E0,6.952362061E-1
4.207655292E0,-5.064791441E-1,-1.353256822E0,8.419705033E-1
4.217644292E0,-5.563058853E-1,-1.424308062E0,9.474877119E-1
4.227634292E0,-5.622098446E-1,-1.402805448E0,9.587446451E-1
4.237624292E0,-5.597485900E-1,-1.321618915E0,9.096022248E-1
4.247613292E0,-5.776569843E-1,-1.197730303E0,8.212254643E-1
4.257603292E0,-6.022388935E-1,-1.110729456E0,7.586117983E-1
4.267593292E0,-6.235268712E-1,-1.148795009E0,8.311866522E-1
4.277583292E0,-6.273410320E-1,-1.194897532E0,9.572155476E-1
4.287572292E0,-6.301450729E-1,-1.241043091E0,1.065104246E0
4.297562292E0,-5.656228065E-1,-1.204296827E0,1.092128038E0
4.307552292E0,-4.620450437E-1,-1.138424277E0,1.072997808E0
4.317541292E0,-3.524560332E-1,-1.046432734E0,1.019724011E0
4.327531292E0,-2.613583505E-1,-1.033230305E0,9.662442207E-1
4.337521292E0,-2.297657281E-1,-1.127437234E0,1.026308060E0
4.347511292E0,-2.375677377E-1,-1.223783970E0,1.112817645E0
4.357500292E0,-2.890013456E-1,-1.318470120E0,1.189645410E0
4.367490292E0,-3.542261720E-1,-1.287616372E0,1.170782328E0
4.377480292E0,-3.872022331E-1,-1.140173078E0,1.073415518E0
4.387469292E0,-3.812777400E-1,-9.477998614E-1,9.676917195E-1
4.397459292E0,-3.393276036E-1,-8.938903809E-1,9.423871040E-1
4.407449292E0,-3.372615278E-1,-9.242591858E-1,9.872568846E-1
4.417438292E0,-4.041576087E-1,-9.823781252E-1,1.045963526E0
4.427428292E0,-4.736597240E-1,-1.006397009E0,1.083222985E0
4.437418667E0,-4.575978518E-1,-9.153078198E-1,1.032019258E0
4.447408667E0,-4.199964106E-1,-7.691964507E-1,9.375159144E-1
4.457397667E0,-4.108088017E-1,-5.665103793E-1,8.367155194E-1
4.467387667E0,-4.142804742E-1,-4.511761069E-1,7.663976550E-1
4.477377667E0,-4.179612994E-1,-4.438337684E-1,8.246597648E-1
4.487366667E0,-4.034273624E-1,-5.408260822E-1,9.449150562E-1
4.497356667E0,-3.713663816E-1,-6.710332036E-1,1.055092096E0
4.507346667E0,-3.172661066E-1,-7.431446910E-1,1.105161190E0
4.517336667E0,-2.600109875E-1,-7.201340795E-1,1.079715848E0
4.527325667E0,-1.889338642E-1,-6.295288205E-1,1.022581458E0
4.537315667E0,-1.254520267E-1,-5.251088738E-1,9.782860875E-1
4.547305667E0,-8.748015761E-2,-4.086267352E-1,9.307177663E-1
4.557294667E0,-6.738015264E-2,-2.861097455E-1,8.646094203E-1
4.567284667E0,-5.123500153E-2,-1.776067317E-1,7.852472663E-1
4.577274667E0,-3.621055931E-2,-5.060013384E-2,6.756493449E-1
4.587263667E0,-3.032497503E-2,3.708737344E-2,5.653073788E-1
4.597253667E0,-1.611915976E-2,5.129653215E-2,5.433422327E-1
4.607243667E0,4.038006812E-2,2.865114063E-2,5.661165118E-1
4.617233667E0,1.469797492E-1,-3.207106143E-2,5.998070836E-1
4.627222667E0,2.583792508E-1,-8.636385947E-2,6.396751404E-1
4.637212667E0,3.118346334E-1,-1.192972437E-1,6.626747251E-1
4.647202667E0,2.850855887E-1,-1.364858001E-1,6.620909572E-1
4.657191667E0,2.343923450E-1,-6.735219061E-2,6.560349464E-1
4.667181667E0,2.193707824E-1,6.118021905E-2,6.628183126E-1
4.677171667E0,2.561087608E-1,1.657111943E-1,6.651850939E-1
4.687161667E0,3.185032010E-1,2.676966786E-1,6.257969737E-1
4.697150667E0,3.661263585E-1,3.969114125E-1,5.667259097E-1
4.707140667E0,3.425698876E-1,4.575036466E-1,4.861014187E-1
4.717130667E0,2.206227630E-1,4.395363331E-1,4.047509432E-1
4.727119667E0,1.067254990E-1,4.263606071E-1,3.725520372E-1
4.737109667E0,8.549343050E-2,3.568264842E-1,3.909877837E-1
4.747099667E0,1.151978001E-1,2.966880500E-1,4.250198007E-1
4.757089667E0,1.749589890E-1,3.466905951E-1,4.201089740E-1
4.767078667E0,2.390122712E-1,4.770621955E-1,3.828188777E-1
4.777068667E0,3.152907193E-1,6.905128956E-1,3.346183896E-1
4.787058667E0,4.422824681E-1,9.438860416E-1,2.930299342E-1
4.797047667E0,5.200044513E-1,1.149534702E0,2.393781990E-1
4.807037667E0,4.569775462E-1,1.291035414E0,9.095330536E-2
4.817027667E0,3.188812137E-1,1.429386616E0,-9.722538292E-2
4.827016667E0,2.138964683E-1,1.566956997E0,-2.469717413E-1
4.837006667E0,2.171794027E-1,1.750962496E0,-3.946520388E-1
4.846996667E0,3.069580197E-1,1.916841507E0,-5.300710797E-1
4.856986667E0,4.249647558E-1,2.088287592E0,-6.361881495E-1
4.866975667E0,5.722266436E-1,2.298263073E0,-7.286637425E-1
4.876965667E0,7.343909740E-1,2.503827810E0,-7.722386718E-1
4.886955667E0,8.952504396E-1,2.640992641E0,-7.712562084E-1
4.896944667E0,9.467452168E-1,2.647486687E0,-7.510004044E-1
4.906934667E0,8.675928712E-1,2.486511230E0,-7.428907752E-1
4.916924667E0,7.397947311E-1,2.140085220E0,-6.783503294E-1
4.926914667E0,6.596889496E-1,1.770332932E0,-5.267576575E-1
4.936903667E0,6.840434074E-1,1.486658812E0,-3.121103346E-1
4.946893667E0,7.898265123E-1,1.325931191E0,-7.786083221E-2
4.956883667E0,8.385385871E-1,1.251795650E0,1.110402942E-1
4.966872667E0,7.925606966E-1,1.230137587E0,2.149507105E-1
4.976862667E0,7.944942117E-1,1.242963552E0,2.481395304E-1
4.986852667E0,8.584125042E-1,1.268439889E0,2.393660098E-1
4.996842667E0,9.492596388E-1,1.276102185E0,1.818004996E-1
5.006831667E0,9.771634340E-1,1.143864512E0,1.199552491E-1
5.016821667E0,9.265422225E-1,8.909878731E-1,8.967635781E-2
5.026811667E0,8.754441142E-1,6.209704876E-1,7.647320628E-2
5.036800667E0,9.503333569E-1,4.460495114E-1,3.119369969E-2
5.046790667E0,1.212172151E0,4.654279947E-1,-4.090712219E-2
5.056780667E0,1.529240131E0,6.558455229E-1,-1.248336956E-1
5.066770667E0,1.775062919E0,9.052361846E-1,-2.042286545E-1
5.076759667E0,1.764099360E0,1.106101632E0,-2.541219592E-1
5.086749667E0,1.391442418E0,1.313877225E0,-3.796284795E-1
5.096739667E0,8.065112233E-1,1.273665428E0,-6.085281968E-1
5.106728667E0,4.315892756E-1,1.019225121E0,-7.023026347E-1
5.116718667E0,2.907412350E-1,7.712410688E-1,-4.769597650E-1
5.126708667E0,3.839486837E-1,5.790740252E-1,-2.023292929E-1
5.136697667E0,6.327615976E-1,5.185983777E-1,-7.835869491E-2
5.146687667E0,8.949189186E-1,5.131266713E-1,-7.050716877E-2
5.156677667E0,1.019630075E0,5.417923331E-1,-8.280779421E-2
5.166667667E0,9.789979458E-1,5.466685891E-1,-9.008967131E-2
5.176656667E0,8.927099109E-1,4.883579612E-1,-1.028477550E-1
5.186646667E0,8.314412236E-1,4.330361187E-1,-1.074923128E-1
5.196636667E0,7.588878274E-1,3.562151492E-1,-8.582705259E-2
5.206625667E0,6.568861008E-1,2.214200497E-1,-4.987971112E-2
5.216615667E0,5.386366844E-1,9.931281954E-2,2.496264130E-2
5.226605667E0,3.880631328E-1,3.997306898E-2,1.260485202E-1
5.236595667E0,2.875700295E-1,-5.706968158E-2,2.165874094E-1
5.246584667E0,2.603344321E-1,-1.501844376E-1,3.151283562E-1
5.256574667E0,2.917304337E-1,-2.312122434E-1,3.669858277E-1
5.266564667E0,3.283752799E-1,-3.135673106E-1,3.475292921E-1
5.276553667E0,3.309987187E-1,-3.727664053E-1,3.023407757E-1
5.286543667E0,2.759964466E-1,-3.718721271E-1,2.606130242E-1
5.296533667E0,1.633023024E-1,-3.556305468E-1,2.286092043E-1
5.306523667E0,7.471863180E-2,-3.533601761E-1,2.451125532E-1
5.316512667E0,1.171302889E-2,-4.024121165E-1,3.215297461E-1
5.326502667E0,-1.776390336E-2,-5.479647517E-1,4.362267554E-1
5.336492667E0,-2.119255066E-2,-7.278228998E-1,5.912588239E-1
5.346481667E0,-1.396313310E-2,-9.075080156E-1,7.476052642E-1
5.356471667E0,-2.283588238E-2,-1.040732622E0,8.927079439E-1
5.366461667E0,-7.174749672E-2,-1.147675514E0,9.727412462E-1
5.376451667E0,-1.259292960E-1,-1.266029716E0,9.536481500E-1
5.386440667E0,-9.811018407E-2,-1.290594220E0,8.558307886E-1
5.396430667E0,-7.058451883E-3,-1.146627784E0,6.854601502E-1
5.406420667E0,9.206174314E-2,-9.561185241E-1,4.798848927E-1
5.416409667E0,1.767791212E-1,-8.444347382E-1,2.932995558E-1
5.426399667E0,1.992553920E-1,-7.281566262E-1,1.846284717E-1
5.436388792E0,1.614701897E-1,-6.436249614E-1,1.928173751E-1
5.446377792E0,6.658948213E-2,-6.828272343E-1,3.081665933E-1
5.456367792E0,-6.978206336E-2,-8.114088178E-1,4.673503637E-1
5.466357792E0,-1.598552167E-1,-9.342806935E-1,6.125237942E-1
5.476347792E0,-2.024335116E-1,-1.030890584E0,7.071307302E-1
5.486336792E0,-2.042521983E-1,-1.136164546E0,7.232266068E-1
5.496326792E0,-1.835731566E-1,-1.181761503E0,6.698318720E-1
5.506316792E0,-2.026571035E-1,-1.130133748E0,6.019076705E-1
5.516305792E0,-2.869890630E-1,-1.021166205E0,5.690954328E-1
5.526295792E0,-3.782918155E-1,-8.742136955E-1,5.837337971E-1
5.536285792E0,-4.170027077E-1,-7.493821979E-1,5.941415429E-1
5.546275792E0,-4.497691691E-1,-6.485480070E-1,5.815541148E-1
5.556264792E0,-4.814417064E-1,-5.818622708E-1,5.634830594E-1
5.566254792E0,-5.052389503E-1,-6.009895802E-1,5.526743531E-1
5.576244792E0,-5.121100545E-1,-7.363984585E-1,6.204200983E-1
5.586233792E0,-4.547101259E-1,-9.512583017E-1,7.335029840E-1
5.596223792E0,-3.343457282E-1,-1.160219193E0,7.926194668E-1
5.606213792E0,-2.243050039E-1,-1.266719460E0,7.597051859E-1
5.616203792E0,-1.780450195E-1,-1.213673115E0,6.805394888E-1
5.626192792E0,-1.775672585E-1,-1.084639192E0,5.751888752E-1
5.636182792E0,-2.297102809E-1,-8.911235929E-1,4.991668463E-1
5.646172792E0,-2.929363847E-1,-6.810590029E-1,4.762785733E-1
5.656161792E0,-3.527173698E-1,-5.439157486E-1,4.614659548E-1
5.666151792E0,-4.023025036E-1,-4.478808343E-1,4.107559025E-1
5.676141792E0,-4.261436462E-1,-3.942471445E-1,3.185054064E-1
5.686131792E0,-4.348596334E-1,-3.332785964E-1,2.315760702E-1
5.696120792E0,-3.957324326E-1,-2.989572585E-1,1.723552644E-1
5.706110792E0,-3.319742382E-1,-3.450310230E-1,1.641897410E-1
5.716100792E0,-2.805316448E-1,-4.221937954E-1,1.863206178E-1
5.726089792E0,-2.317300290E-1,-4.954797328E-1,2.085068822E-1
5.736079792E0,-1.932433546E-1,-5.452802777E-1,1.766600013E-1
5.746069792E0,-1.900369078E-1,-5.106989145E-1,7.485082746E-2
5.756059792E0,-2.278055996E-1,-3.417676687E-1,-5.494346842E-3
5.766048792E0,-2.874649167E-1,-1.778770089E-1,-2.781190351E-2
5.776038792E0,-3.471247554E-1,-8.787413687E-2,-4.335960001E-2
5.786028792E0,-3.581201434E-1,-1.398739684E-2,-4.564991966E-2
5.796017792E0,-3.151508868E-1,2.708240226E-2,-1.771543361E-2
5.806007792E0,-2.299638093E-1,3.257117793E-2,2.842040034E-3
5.815997792E0,-1.560085565E-1,-5.316849332E-3,2.050043456E-2
5.825986792E0,-1.388649940E-1,-2.824852988E-2,9.597735107E-2
5.835976792E0,-1.366770566E-1,-1.095072329E-1,2.028567791E-1
5.845966792E0,-9.516076744E-2,-2.261587381E-1,2.570973933E-1
5.855956792E0,6.852079649E-3,-2.963955998E-1,2.602289617E-1
5.865945792E0,1.163340956E-1,-2.981791198E-1,2.432204187E-1
5.875935792E0,2.515377104E-1,-3.149790168E-1,2.018259019E-1
5.885925792E0,3.419054151E-1,-2.933437526E-1,1.578286141E-1
5.895914792E0,3.491528928E-1,-2.091642618E-1,1.197050959E-1
5.905904792E0,2.944451869E-1,-1.271215826E-1,1.085216850E-1
5.915894792E0,2.651638165E-2,-5.069877580E-2,1.745742410E-1
5.925884792E0,-3.308971226E-1,-8.120901883E-2,3.052153289E-1
5.935873792E0,-5.025487542E-1,-1.683776081E-1,4.121597707E-1
5.945863792E0,-5.318858624E-1,-2.287008613E-1,4.151257277E-1
5.955853792E0,-4.615021944E-1,-1.656283736E-1,3.005446494E-1
5.965842792E0,-3.984619677E-1,-1.026167907E-2,1.251941323E-1
5.975832792E0,-1.175089031E-1,8.318296075E-2,-5.672541261E-2
5.985822792E0,3.592110276E-1,1.713045537E-1,-1.807040870E-1
5.995812792E0,8.539210558E-1,2.108019739E-1,-2.644194663E-1
6.005801792E0,1.296540022E0,7.895126939E-2,-2.331513017E-1
6.015791792E0,1.409586072E0,-2.495519370E-1,1.160434037E-1
6.025781792E0,1.069143295E0,-3.615546227E-1,5.647122860E-1